time,r,r_dot,theta,theta_dot,is_private
6.299999952316284180e-01,1.052013993263244629e+00,-3.510066017042845488e-05,3.962791442871093750e+00,6.293430805206298828e+00,0.000000000000000000e+00
6.399999856948852539e-01,1.052014708518981934e+00,1.756090641720220447e-04,4.025722026824951172e+00,6.292817115783691406e+00,0.000000000000000000e+00
6.499999761581420898e-01,1.052017569541931152e+00,4.192987980786710978e-04,4.088647365570068359e+00,6.292190551757812500e+00,0.000000000000000000e+00
6.599999666213989258e-01,1.052023172378540039e+00,6.939225713722407818e-04,4.151565074920654297e+00,6.291557788848876953e+00,0.000000000000000000e+00
6.699999570846557617e-01,1.052031517028808594e+00,9.968356462195515633e-04,4.214477062225341797e+00,6.290924549102783203e+00,0.000000000000000000e+00
6.800000071525573730e-01,1.052043080329895020e+00,1.324796350672841072e-03,4.277382373809814453e+00,6.290294170379638672e+00,0.000000000000000000e+00
6.899999976158142090e-01,1.052057862281799316e+00,1.673958846367895603e-03,4.340280532836914062e+00,6.289673328399658203e+00,0.000000000000000000e+00
6.999999880790710449e-01,1.052076101303100586e+00,2.039883984252810478e-03,4.403172969818115234e+00,6.289066314697265625e+00,0.000000000000000000e+00
7.099999785423278809e-01,1.052098035812377930e+00,2.417531795799732208e-03,4.466058731079101562e+00,6.288477420806884766e+00,0.000000000000000000e+00
7.199999690055847168e-01,1.052125215530395508e+00,2.801771974191069603e-03,4.528947830200195312e+00,6.287912845611572266e+00,0.000000000000000000e+00
7.299999594688415527e-01,1.052155137062072754e+00,3.187268273904919624e-03,4.591824054718017578e+00,6.287372112274169922e+00,0.000000000000000000e+00
7.400000095367431641e-01,1.052188873291015625e+00,3.568055573850870132e-03,4.654695510864257812e+00,6.286859989166259766e+00,0.000000000000000000e+00
7.500000000000000000e-01,1.052226781845092773e+00,3.938304726034402847e-03,4.717562198638916016e+00,6.286379337310791016e+00,0.000000000000000000e+00
7.599999904632568359e-01,1.052268028259277344e+00,4.292342811822891235e-03,4.780424118041992188e+00,6.285933017730712891e+00,0.000000000000000000e+00
7.699999809265136719e-01,1.052312970161437988e+00,4.624643828719854355e-03,4.843280792236328125e+00,6.285521984100341797e+00,0.000000000000000000e+00
7.799999713897705078e-01,1.052361249923706055e+00,4.929827060550451279e-03,4.906134605407714844e+00,6.285147190093994141e+00,0.000000000000000000e+00
7.899999618530273438e-01,1.052412748336791992e+00,5.202663131058216095e-03,4.968985557556152344e+00,6.284808635711669922e+00,0.000000000000000000e+00
7.999999523162841797e-01,1.052463889122009277e+00,5.438078660517930984e-03,5.031829833984375000e+00,6.284501552581787109e+00,0.000000000000000000e+00
8.100000023841857910e-01,1.052519321441650391e+00,5.631578620523214340e-03,5.094673156738281250e+00,6.284233570098876953e+00,0.000000000000000000e+00
